PERIODO_OFICIALIZACION,SUBREGIMEN,PAIS_ORIGEN_DESC,PAIS_PROCEDENCIA_DESC,MEDIO_TRANSPORTE_DESC,ADUANA_DESC,REGION_DESC,UNIDAD_DESC,CAPITULO,CAPITULO_DESC,PARTIDA,PARTIDA_DESC,CANTIDAD_UNIDAD,KILOS_NETOS,MONTO_FOB_DOLAR,CANAL
201701,IC04,ESTADOS_UNIDOS,ESTADOS_UNIDOS,ACUATICO,CAMPANA,SUB__GRAL__DE_OP__ADUNERAS_MET,KILOGRAMO,84,REACTORES_NUCLEARES__CALDERAS__MAQUINAS_,8414,BOMBAS_DE_AIRE_O_DE_VACIO__COMPRESORES_D,716,716,40177,V
201705,IC04,CHINA,ESTADOS_UNIDOS,ACUATICO,CAMPANA,SUB__GRAL__DE_OP__ADUNERAS_MET,KILOGRAMO,85,MAQUINAS__APARATOS_Y_MATERIAL_ELECTRICO_,8544,HILOS__CABLES__INCLUIDOS_LOS_COAXIALES__,3253,3253,48900,N
201701,IC05,REP__FED_DE_ALEMANIA,ESTADOS_UNIDOS,ACUATICO,CAMPANA,SUB__GRAL__DE_OP__ADUNERAS_MET,KILOGRAMO,84,REACTORES_NUCLEARES__CALDERAS__MAQUINAS_,8421,CENTRIFUGADORAS__INCLUIDAS_LAS_SECADORAS,19,19,45549,R
201703,IC04,CHINA,CHINA,ACUATICO,CAMPANA,SUB__GRAL__DE_OP__ADUNERAS_MET,KILOGRAMO,84,REACTORES_NUCLEARES__CALDERAS__MAQUINAS_,8481,ARTICULOS_DE_GRIFERIA_Y_ORGANOS_SIMILARE,300,300,98125,R
201706,IG04,BRASIL,BRASIL,CAMION,CAMPANA,SUB__GRAL__DE_OP__ADUNERAS_MET,KILOGRAMO,87,VEHICULOS_AUTOMOVILES__TRACTORES__VELOCI,8714,PARTES_Y_ACCESORIOS_PARA_VEHICULOS_DE_LA,2991,2991,45904,N
201704,IG04,BRASIL,BRASIL,ACUATICO,CAMPANA,SUB__GRAL__DE_OP__ADUNERAS_MET,KILOGRAMO,87,VEHICULOS_AUTOMOVILES__TRACTORES__VELOCI,8708,PARTES_Y_ACCESORIOS_PARA_VEHICULOS_AUTOM,6824,6824,169609,V
201702,IG04,BRASIL,BRASIL,ACUATICO,CAMPANA,SUB__GRAL__DE_OP__ADUNERAS_MET,KILOGRAMO,87,VEHICULOS_AUTOMOVILES__TRACTORES__VELOCI,8708,PARTES_Y_ACCESORIOS_PARA_VEHICULOS_AUTOM,6923,6923,127812,V
201701,IC04,ITALIA,ITALIA,ACUATICO,CAMPANA,SUB__GRAL__DE_OP__ADUNERAS_MET,KILOGRAMO,84,REACTORES_NUCLEARES__CALDERAS__MAQUINAS_,8481,ARTICULOS_DE_GRIFERIA_Y_ORGANOS_SIMILARE,1777,1777,50560,V
201702,IG04,JAPON,JAPON,CAMION,CAMPANA,SUB__GRAL__DE_OP__ADUNERAS_MET,KILOGRAMO,87,VEHICULOS_AUTOMOVILES__TRACTORES__VELOCI,8708,PARTES_Y_ACCESORIOS_PARA_VEHICULOS_AUTOM,2798,2798,137151,V
201705,IG05,JAPON,JAPON,CAMION,CAMPANA,SUB__GRAL__DE_OP__ADUNERAS_MET,KILOGRAMO,85,MAQUINAS__APARATOS_Y_MATERIAL_ELECTRICO_,8536,APARATOS_PARA_CORTE__SECCIONAMIENTO__PRO,459,459,42655,N
